,Apple,Apple,Apple,Apple,Apple,Samsung,Samsung,Samsung,Samsung,Samsung
,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,
2015-07-17,28.9425048828125,28.9425048828125,28.649999002822348,28.821931214325204,184658800.0,20092.6953125,20185.075520833332,19676.984375,20015.711805555555,14861650.0
2015-07-20,29.489553451538086,29.69051064578795,29.183647553370438,29.243936074482836,235600800.0,19630.79296875,20077.297279411763,19599.999568014704,19877.140174632354,6446400.0
2015-07-21,29.194822311401367,29.67935547360729,29.09881038203511,29.66372713010115,307025600.0,19446.033203125,19661.58701535283,19199.685989150337,19630.793613605998,9702750.0
2015-07-22,27.960037231445312,28.022557405679308,27.238818470567157,27.238818470567157,461802400.0,19292.06640625,19399.843313547484,19014.925787485034,19153.49609686752,13416150.0
2015-07-23,27.94664192199707,28.37758481624424,27.924311827053078,28.178859236781584,203998000.0,18999.529296875,19292.06661992251,18999.529296875,19153.496309005266,10448250.0
2015-07-24,27.799280166625977,28.076156054344427,27.66530807279754,27.98237575901928,168649200.0,18922.54296875,19061.11325900122,18845.559474165988,18891.749570916396,9829200.0
2015-07-27,27.412986755371094,27.600549012105486,27.26785134311559,27.484438638044374,177822000.0,18937.94140625,19199.685311864836,18907.148005589428,18922.544705919714,12152000.0
2015-07-28,27.549190521240234,27.667534238662494,27.363863329620226,27.549190521240234,134472400.0,18937.94140625,19261.272113185973,18768.57770261687,18845.56120426829,13381350.0
2015-07-29,27.462108612060547,27.575985628897783,27.301341459713193,27.497835403047585,148046800.0,19446.033203125,19630.793613605998,18953.338775175675,19245.876091770588,13734450.0
2015-07-30,27.32367515563965,27.36833194670964,27.176304678723376,27.312510106098458,134513200.0,18706.98828125,19399.839699074073,18706.98828125,19369.046302726336,15419600.0
2015-07-31,27.084753036499023,27.383957232446935,26.997671116571073,27.375025535076492,171540000.0,18245.087890625,18814.765740374474,18091.120904206226,18783.972343090718,19579450.0
2015-08-03,26.446157455444336,27.368333708425062,26.240731774075797,27.129416283371835,279904000.0,18091.125,18229.695319148934,17952.554680851063,18229.695319148934,9844550.0
2015-08-04,25.597660064697266,26.28091876777398,25.287290803917507,26.21839858625679,496554400.0,18198.8984375,18275.88193342851,18014.138047271575,18091.121543200086,12844350.0
2015-08-05,25.767364501953125,26.22287097058106,25.03051545197168,25.220309388013096,397250400.0,17844.7734375,18198.897500539257,17829.37673910699,18198.897500539257,12802500.0
2015-08-06,25.82343101501465,26.1307199254701,25.596891241758055,26.01184224596239,211612000.0,17167.32421875,17798.589055493274,17167.32421875,17783.192352158072,20199050.0
2015-08-07,25.91090965270996,26.07464798007613,25.68212639758036,25.700070652053586,154681600.0,17490.646484375,17506.04318022392,17167.315871547646,17244.299350792255,13787100.0
2015-08-10,26.852968215942383,26.913527948658288,26.137456745056706,26.137456745056706,219806400.0,17567.6328125,17583.02951084575,17398.269130696757,17552.23611415425,5722500.0
2015-08-11,25.455583572387695,26.507541906594625,25.419696776558233,26.42455101739805,388331200.0,17813.986328125,18152.713812324437,17675.415993679777,17721.606105161518,11664300.0
2015-08-12,25.84811019897461,25.88848392172956,24.589797836247023,25.240262608961835,404870000.0,17767.794921875,17921.761948927644,17552.2410840013,17706.208111053944,11154000.0
2015-08-13,25.827917098999023,26.108289621325852,25.691095171202885,26.027542197995082,194143200.0,17552.23828125,17752.395384457235,17521.44488075658,17752.395384457235,7520550.0
2015-08-14,26.009599685668945,26.088103654920044,25.572219206085563,25.64175104867108,171718000.0,17552.23828125,17552.23828125,17552.23828125,17552.23828125,0.0
2015-08-17,26.278766632080078,26.38867222366194,25.906430958800488,26.02755214006281,163538800.0,16997.955078125,17567.632920417233,16997.955078125,17552.236221976902,11360850.0
2015-08-18,26.130722045898438,26.34156275421477,26.02081648382766,26.115021251316897,138242800.0,17413.673828125,17567.640882308246,17198.11995226846,17213.51665768678,11583600.0
